availability,size,society,total_sqft,bath,balcony,avg_price_per_loc,price,area_type_Built-up  Area,area_type_Carpet  Area,area_type_Plot  Area,area_type_Super built-up  Area
0,2.0,1,6.962243464266207,2.0,1.0,0.047765119810948414,3.6653549090669792,0,0,0,1
1,4.0,1,7.8632667240095735,5.0,3.0,0.047257164988381097,4.787491742782046,0,0,1,0
1,3.0,0,7.272398392570047,2.0,3.0,0.04892865213550547,4.127134385045092,1,0,0,0
1,3.0,1,7.327123292259293,3.0,1.0,0.075806828039159,4.553876891600541,0,0,0,1
1,2.0,0,7.090076835776092,2.0,1.0,0.04819804070057844,3.9318256327243257,0,0,0,1
1,2.0,1,7.064759027791802,2.0,1.0,0.06012511218903279,3.6375861597263857,0,0,0,1
0,4.0,1,7.912789220690681,4.0,2.0,0.09972955774737512,5.318119993844216,0,0,0,1
1,4.0,1,8.101677747454572,4.0,2.0,0.145665956052623,6.396929655216146,0,0,0,1
1,3.0,0,7.177782416195197,3.0,1.0,0.052980841598545415,4.1470951276076295,0,0,0,1
1,6.0,0,6.927557906278317,6.0,2.0,0.1803369235017951,5.91350300563827,0,0,1,0
0,3.0,0,7.495541943884256,2.0,2.0,0.053071011217655076,4.248495242049359,0,0,0,1
1,4.0,1,7.932003152361385,5.0,3.0,0.10945963709772069,5.68697535633982,0,0,1,0
1,2.0,1,6.907755278982137,2.0,1.0,0.06795903466380034,3.6375861597263857,0,0,0,1
1,2.0,0,7.003065458786462,2.0,2.0,0.052038468346215117,3.6888794541139363,1,0,0,0
1,3.0,1,7.718685495198466,3.0,2.0,0.08431000905797102,4.997212273764115,0,0,1,0
1,2.0,1,7.069023426578259,2.0,2.0,0.07325192038830078,4.297285406218791,0,0,0,1
1,3.0,1,7.07326971745971,3.0,2.0,0.040853419416547104,3.871201010907891,0,0,0,1
1,3.0,1,7.3395376954076745,3.0,3.0,0.04193931241840408,4.0943445622221,0,0,0,1
1,3.0,1,7.926602599181384,4.0,2.0,0.10167187449666591,5.66988092298052,0,0,0,1
1,2.0,0,7.003065458786462,2.0,2.0,0.0873730290583307,3.871201010907891,0,0,0,1
1,1.0,0,6.396929655216146,1.0,1.0,0.056596536495807086,2.70805020110221,1,0,0,0
