s_no,area_type,availability,location,size,society,total_sqft,bath,balcony,price
1,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07
2,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120
3,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62
4,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95
5,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51
6,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38
7,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204
8,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600
9,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25
10,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370
11,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70
12,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295
13,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38
14,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40
15,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
16,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
17,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
18,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
19,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
20,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48
21,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15
22,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122
23,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380
24,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,103
25,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
26,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56
27,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1
28,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81
29,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77
30,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47
31,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186
32,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35
33,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123
34,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
35,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125
36,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
37,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5
38,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125
39,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12
40,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45
41,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,81
42,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38
43,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38
44,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,48
45,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79
46,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,200
47,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33
48,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82
49,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1,1,130
50,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,36
51,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50
52,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99
53,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91
54,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75
55,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75
56,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44
57,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192
58,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185
59,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,150
60,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45
61,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,240
62,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55
63,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650
64,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44
65,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,140
66,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62
67,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43
68,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,57
69,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7,0,85
70,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,36.68
71,Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,100
72,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58
73,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101
74,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70
75,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140
76,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,48.23
77,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2,3,40
78,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205
79,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1,0,22
80,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6,3,250
81,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105
82,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5
83,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78
84,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2,2,60.8
85,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102
86,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7,2,210
87,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3,2,88
88,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37
89,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06
90,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6,3,160
91,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70
92,Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2,1,28.88
93,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2,2,70
94,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4,2,155
95,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,80
96,Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3,2,90
97,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,245
98,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,48
